waktu mulai => start 2022-05-22 01:01:15
id user => 672; cust id => 0054982980; skip
id user => 673; cust id => 0004414520; skip
id user => 674; cust id => 0054983639; skip
id user => 675; cust id => 0008436420; skip
id user => 676; cust id => 0054981329; skip
id user => 677; cust id => 0054981484; skip
id user => 678; cust id => 0001741644; skip
id user => 679; cust id => 0001261338; skip
id user => 680; cust id => 0054984771; skip
id user => 681; cust id => 0054984908; skip
id user => 682; cust id => 0000182824; skip
id user => 683; cust id => 0054984947; skip
id user => 684; cust id => 0054984946; skip
id user => 685; cust id => 0054985693; skip
id user => 686; cust id => 0028630408; skip
id user => 687; cust id => 0003043247; skip
id user => 688; cust id => 0047176789; skip
id user => 689; cust id => 0054985543; skip
id user => 690; cust id => 0054985747; skip
id user => 691; cust id => 0000505826; skip
id user => 692; cust id => 0054984211; skip
id user => 693; cust id => 0053375218; skip
id user => 694; cust id => 0054985718; skip
id user => 695; cust id => 0054985924; skip
id user => 696; cust id => 0054986325; skip
id user => 697; cust id => 0054986212; skip
id user => 698; cust id => 0004327227; skip
id user => 699; cust id => 0047170766; skip
id user => 700; cust id => 0054985563; skip
id user => 701; cust id => 0054985037; skip
id user => 702; cust id => 0054956750; skip
id user => 703; cust id => 0030368146; skip
id user => 704; cust id => 0001530351; skip
id user => 705; cust id => 0047334776; skip
id user => 706; cust id => 0047334776; skip
id user => 708; cust id => 0029577145; skip
id user => 709; cust id => 0054982991; skip
id user => 710; cust id => 0054985649; skip
id user => 711; cust id => 0018011668; skip
id user => 712; cust id => 0051292779; skip
id user => 713; cust id => 0030294813; skip
id user => 714; cust id => 0054987019; skip
id user => 715; cust id => 0054986600; skip
id user => 716; cust id => 0009555699; skip
id user => 717; cust id => 0049582737; skip
id user => 718; cust id => 0049582737; skip
id user => 719; cust id => 0050184753; skip
id user => 720; cust id => 0001758044; skip
id user => 721; cust id => 0049738883; skip
id user => 722; cust id => 0054981854; skip
id user => 723; cust id => 0035688720; skip
id user => 724; cust id => 0054986676; skip
id user => 725; cust id => 0054985373; skip
id user => 726; cust id => 0052611068; skip
id user => 727; cust id => 0054985511; skip
id user => 728; cust id => 0000315929; skip
id user => 729; cust id => 0030241566; skip
id user => 730; cust id => 0052611068; skip
id user => 731; cust id => 0054987564; skip
id user => 732; cust id => 0054985314; skip
id user => 734; cust id => 0054987472; skip
id user => 735; cust id => 0054982414; skip
id user => 736; cust id => 0054982414; skip
id user => 737; cust id => 0054982414; skip
id user => 738; cust id => 0054982414; skip
id user => 739; cust id => 0054984941; skip
id user => 741; cust id => 0054984859; skip
id user => 742; cust id => 0054986387; skip
id user => 743; cust id => 0053892758; skip
id user => 744; cust id => 0017384272; skip
id user => 745; cust id => 0054981036; skip
id user => 746; cust id => 0054981036; skip
id user => 747; cust id => 0054981036; skip
id user => 748; cust id => 0054981036; skip
id user => 749; cust id => 0054981036; skip
id user => 750; cust id => 0052613007; skip
id user => 751; cust id => 0052394756; skip
id user => 752; cust id => 0054985585 ; skip
id user => 753; cust id => 0; skip
id user => 754; cust id => 0051056737; skip
id user => 755; cust id => 0054984116; skip
id user => 756; cust id => 0003689544; skip
id user => 757; cust id => 0054983739; skip
id user => 758; cust id => 0054296827; skip
id user => 759; cust id => 0049582737; skip
id user => 760; cust id => 0054986873; skip
id user => 761; cust id => 0002462943; skip
id user => 762; cust id => 0054988246; skip
id user => 763; cust id => 0001041524; skip
id user => 764; cust id => 0054986709; skip
id user => 767; cust id => 0049958762; skip
id user => 768; cust id => 0054984257; skip
id user => 770; cust id => 0054984263; skip
id user => 771; cust id => 0054987106; skip
id user => 772; cust id => 0006148225; skip
id user => 773; cust id => 0025677618; skip
id user => 774; cust id => 0054987091; skip
id user => 775; cust id => 0054985898; skip
id user => 776; cust id => 0054983683 ; skip
id user => 777; cust id => 0054983683 ; skip
id user => 778; cust id => 0054986477; skip
id user => 779; cust id => 0054987255; skip
id user => 780; cust id => 0004318325; skip
id user => 781; cust id => 0000061127; skip
id user => 782; cust id => 0001242635; skip
id user => 783; cust id => 0054987578; skip
id user => 784; cust id => 0054986338; skip
id user => 785; cust id => 0051626851; skip
id user => 786; cust id => 0049548720; skip
id user => 787; cust id => 0051330702; skip
id user => 788; cust id => 0054985054; skip
id user => 790; cust id => 0054984025; skip
id user => 791; cust id => 0048788764; skip
id user => 793; cust id => 0051056737; skip
id user => 794; cust id => 0048216766; skip
id user => 795; cust id => 0053136743; skip
id user => 796; cust id => 0054988485; skip
id user => 797; cust id => 0035578780; skip
id user => 798; cust id => 0001488451; skip
id user => 799; cust id => 0054987142; skip
id user => 800; cust id => 0054987094 ; skip
id user => 801; cust id => 0052790748; skip
id user => 802; cust id => 0054988480; skip
id user => 803; cust id => 0054988473; skip
id user => 804; cust id => 0006726467; skip
id user => 805; cust id => 0054988615; skip
id user => 806; cust id => 0054987434; skip
id user => 807; cust id => 0044191088; skip
id user => 808; cust id => 0054986380; skip
id user => 809; cust id => 0054986380; skip
id user => 810; cust id => 0054988513; skip
id user => 811; cust id => 0054985892; skip
id user => 812; cust id => 0008062465; skip
id user => 813; cust id => 0054988667; skip
id user => 814; cust id => 0054987330; skip
id user => 818; cust id => 0000300723; skip
id user => 819; cust id => 0054988685; skip
id user => 820; cust id => 0054982982 ; skip
id user => 821; cust id => 0002711521; skip
